"weightgain","group"
41,"control"
38.4,"control"
24.9,"control"
25.9,"control"
21.9,"control"
18.3,"control"
13.1,"control"
27.3,"control"
28.5,"control"
-16.9,"control"
17.4,"control"
21.8,"control"
15.4,"control"
27.4,"control"
19.2,"control"
22.4,"control"
17.7,"control"
26,"control"
29.4,"control"
21.4,"control"
22.7,"control"
26,"control"
26.6,"control"
10.1,"ozone"
6.1,"ozone"
20.4,"ozone"
7.3,"ozone"
14.3,"ozone"
15.5,"ozone"
-9.9,"ozone"
6.8,"ozone"
28.2,"ozone"
17.9,"ozone"
-12.9,"ozone"
14,"ozone"
6.6,"ozone"
12.1,"ozone"
15.7,"ozone"
39.9,"ozone"
-15.9,"ozone"
54.6,"ozone"
-14.7,"ozone"
44.1,"ozone"
-9,"ozone"
-9,"ozone"
