temp,td,i,_LEVEL_,p1,p2,p3
30,,1,1,0.9996898024,1,0.9999988311
31,,2,1,0.999608772,1,0.9999977485
32,,3,1,0.9995065852,1,0.9999957386
33,,4,1,0.9993777243,1,0.9999920746
34,,5,1,0.9992152364,1,0.999985516
35,,6,1,0.9990103617,1,0.9999739878
36,,7,1,0.9987520682,1,0.9999540904
37,,8,1,0.9984264668,1,0.9999203681
38,,9,1,0.9980160806,1,0.9998642469
39,,10,1,0.9974989315,1,0.9997725362
40,,11,1,0.9968474027,1,0.9996253723
41,,12,1,0.9960268267,1,0.9993934898
42,,13,1,0.994993739,1,0.9990347156
43,,14,1,0.9936937329,1,0.9984896349
44,,15,1,0.9920588408,1,0.9976764547
45,,16,1,0.9900043682,1,0.9964852151
46,,17,1,0.9874251164,1,0.9947716611
47,,18,1,0.9841909477,0.9999999998,0.9923512849
48,,19,1,0.9801417029,0.9999999877,0.9889942617
49,,20,1,0.9750815659,0.9999996855,0.9844221988
50,,21,1,0.9687731233,0.9999954918,0.9783077621
51,,22,1,0.9609316016,0.9999597498,0.9702782876
52,,23,1,0.9512201096,0.9997565319,0.9599243819
53,1,,1,0.9392471903,0.9989307035,0.9468142305
53,,24,1,0.9392471903,0.9989307035,0.9468142305
54,,25,1,0.9245685839,0.9963903875,0.9305138541
55,,26,1,0.9066957601,0.990185776,0.9106128959
56,,27,1,0.8851143369,0.9776644856,0.886754745
57,1,,1,0.8593156338,0.9560842706,0.8586689961
57,,28,1,0.8593156338,0.9560842706,0.8586689961
58,1,,1,0.8288438495,0.9234360342,0.8262035273
58,,29,1,0.8288438495,0.9234360342,0.8262035273
59,,30,1,0.7933591078,0.8790805968,0.7893529925
60,,31,1,0.752712463,0.8239361343,0.7482803772
61,,32,1,0.7070230944,0.7602135615,0.7033285478
62,,33,1,0.6567417006,0.6908849096,0.6550194601
63,1,,1,0.6026802913,0.6191094577,0.6040398213
63,,34,1,0.6026802913,0.6191094577,0.6040398213
64,,35,1,0.5459905398,0.5477765107,0.5512134076
65,,36,1,0.4880826667,0.4792286079,0.4974617381
66,0,,1,0.4304929192,0.4151557291,0.443756179
66,,37,1,0.4304929192,0.4151557291,0.443756179
67,0,,1,0.3747242531,0.3566146676,0.3910655984
67,0,,1,0.3747242531,0.3566146676,0.3910655984
67,0,,1,0.3747242531,0.3566146676,0.3910655984
67,,38,1,0.3747242531,0.3566146676,0.3910655984
68,0,,1,0.3220941992,0.3041209575,0.3403042465
68,,39,1,0.3220941992,0.3041209575,0.3403042465
69,0,,1,0.2736213396,0.2577700618,0.2922845034
69,,40,1,0.2736213396,0.2577700618,0.2922845034
70,1,,1,0.2299686472,0.2173588869,0.2476785387
70,0,,1,0.2299686472,0.2173588869,0.2476785387
70,1,,1,0.2299686472,0.2173588869,0.2476785387
70,0,,1,0.2299686472,0.2173588869,0.2476785387
70,,41,1,0.2299686472,0.2173588869,0.2476785387
71,,42,1,0.1914446776,0.1824918465,0.2069918362
72,0,,1,0.1580495993,0.1526652707,0.170550147
72,,43,1,0.1580495993,0.1526652707,0.170550147
73,0,,1,0.1295465305,0.1273298477,0.1384999315
73,,44,1,0.1295465305,0.1273298477,0.1384999315
74,,45,1,0.1055394335,0.1059337938,0.1108209661
75,0,,1,0.0855440278,0.087950566,0.0873486906
75,1,,1,0.0855440278,0.087950566,0.0873486906
75,,46,1,0.0855440278,0.087950566,0.0873486906
76,0,,1,0.0690445092,0.0728949603,0.0678031823
76,0,,1,0.0690445092,0.0728949603,0.0678031823
76,,47,1,0.0690445092,0.0728949603,0.0678031823
77,,48,1,0.055534113,0.0603309522,0.051821401
78,0,,1,0.044540901,0.0498739654,0.0389895348
78,,49,1,0.044540901,0.0498739654,0.0389895348
79,0,,1,0.0356417193,0.0411896012,0.0288727878
79,,50,1,0.0356417193,0.0411896012,0.0288727878
81,0,,1,0.022703522,0.0280308729,0.015086775
